arms,n_clicks_b,n_shows_b,n_clicks_r,n_shows_r
id-566478,10,319,4281,78058
id-563643,4,257,3528,96881
id-559833,13,352,2516,80045
id-566439,1,251,545,57311
id-564418,1,230,1544,96498
id-562374,11,287,2746,79605
id-563846,1,249,3581,96976
id-566825,35,436,4409,79668
id-566573,21,352,2353,76586
id-566689,17,338,3140,81247
id-566726,28,372,2674,61463
id-560805,20,347,3444,76689
id-566431,40,431,5364,77548
id-566587,44,474,7128,89169
id-564371,15,343,2785,77015
id-566602,7,300,2594,83431
id-562265,3,284,1147,66503
id-566631,6,278,1482,67311
id-565822,5,221,3868,88244
id-566838,28,355,3820,55872
id-566541,3,218,932,42035
id-562637,679,30953,1905,87186
