arms,n_clicks_b,n_shows_b,n_clicks_r,n_shows_r
id-566478,26,751,4281,78058
id-563643,13,418,3528,96881
id-559833,14,629,2516,80045
id-566439,1,167,545,57311
id-564418,2,175,1544,96498
id-562374,23,651,2746,79605
id-563846,12,357,3581,96976
id-566825,335,4038,4409,79668
id-566573,2,414,2353,76586
id-566689,9,749,3140,81247
id-566726,46,969,2674,61463
id-560805,49,1049,3444,76689
id-566431,146,1872,5364,77548
id-566587,1208,11868,7128,89169
id-564371,11,407,2785,77015
id-566602,29,729,2594,83431
id-562265,0,177,1147,66503
id-566631,7,457,1482,67311
id-565822,4,201,3868,88244
id-566838,242,2694,3820,55872
id-566541,34,812,932,42035
id-562637,732,32267,1905,87186
