arms,n_clicks_b,n_shows_b,n_clicks_r,n_shows_r
id-566478,16,316,4281,78058
id-563643,9,280,3528,96881
id-559833,8,315,2516,80045
id-566439,2,256,545,57311
id-564418,5,276,1544,96498
id-562374,17,339,2746,79605
id-563846,17,320,3581,96976
id-566825,33,412,4409,79668
id-566573,12,304,2353,76586
id-566689,16,317,3140,81247
id-566726,26,345,2674,61463
id-560805,24,336,3444,76689
id-566431,20,338,5364,77548
id-566587,41,398,7128,89169
id-564371,7,299,2785,77015
id-566602,12,329,2594,83431
id-562265,3,265,1147,66503
id-566631,3,291,1482,67311
id-565822,10,237,3868,88244
id-566838,58,435,3820,55872
id-566541,3,209,932,42035
id-562637,677,30960,1905,87186
