arms,n_clicks_b,n_shows_b,n_clicks_r,n_shows_r
id-566478,33,775,4281,78058
id-563643,8,290,3528,96881
id-559833,18,484,2516,80045
id-566439,2,266,545,57311
id-564418,2,163,1544,96498
id-562374,31,904,2746,79605
id-563846,8,274,3581,96976
id-566825,197,2678,4409,79668
id-566573,4,426,2353,76586
id-566689,60,1253,3140,81247
id-566726,27,947,2674,61463
id-560805,29,802,3444,76689
id-566431,152,2182,5364,77548
id-566587,935,8020,7128,89169
id-564371,31,685,2785,77015
id-566602,21,821,2594,83431
id-562265,20,581,1147,66503
id-566631,7,371,1482,67311
id-565822,0,104,3868,88244
id-566838,421,3191,3820,55872
id-566541,11,216,932,42035
id-562637,685,31228,1905,87186
