arms,n_clicks_b,n_shows_b,n_clicks_r,n_shows_r
id-566478,0,41,4281,78058
id-563643,6,249,3528,96881
id-559833,8,548,2516,80045
id-566439,4,151,545,57311
id-564418,0,36,1544,96498
id-562374,11,683,2746,79605
id-563846,35,754,3581,96976
id-566825,0,40,4409,79668
id-566573,44,1071,2353,76586
id-566689,42,1123,3140,81247
id-566726,0,41,2674,61463
id-560805,0,40,3444,76689
id-566431,382,4605,5364,77548
id-566587,1728,16204,7128,89169
id-564371,13,1071,2785,77015
id-566602,19,808,2594,83431
id-562265,0,39,1147,66503
id-566631,25,871,1482,67311
id-565822,0,25,3868,88244
id-566838,0,40,3820,55872
id-566541,9,343,932,42035
id-562637,849,35212,1905,87186
