arms,n_clicks_b,n_shows_b,n_clicks_r,n_shows_r
id-566478,21,327,4281,78058
id-563643,5,267,3528,96881
id-559833,15,317,2516,80045
id-566439,1,265,545,57311
id-564418,0,253,1544,96498
id-562374,8,298,2746,79605
id-563846,13,304,3581,96976
id-566825,25,351,4409,79668
id-566573,10,300,2353,76586
id-566689,11,308,3140,81247
id-566726,21,331,2674,61463
id-560805,17,305,3444,76689
id-566431,28,351,5364,77548
id-566587,31,342,7128,89169
id-564371,7,295,2785,77015
id-566602,10,311,2594,83431
id-562265,7,285,1147,66503
id-566631,5,297,1482,67311
id-565822,13,244,3868,88244
id-566838,37,358,3820,55872
id-566541,3,232,932,42035
id-562637,681,30955,1905,87186
