arms,n_clicks_b,n_shows_b,n_clicks_r,n_shows_r
id-566478,20,461,4281,78058
id-563643,13,329,3528,96881
id-559833,15,460,2516,80045
id-566439,0,289,545,57311
id-564418,6,331,1544,96498
id-562374,18,401,2746,79605
id-563846,7,296,3581,96976
id-566825,64,684,4409,79668
id-566573,7,377,2353,76586
id-566689,15,392,3140,81247
id-566726,16,445,2674,61463
id-560805,13,427,3444,76689
id-566431,28,463,5364,77548
id-566587,97,759,7128,89169
id-564371,12,375,2785,77015
id-566602,30,487,2594,83431
id-562265,3,312,1147,66503
id-566631,8,360,1482,67311
id-565822,8,251,3868,88244
id-566838,137,886,3820,55872
id-566541,8,209,932,42035
id-562637,680,31032,1905,87186
