arms,n_clicks_b,n_shows_b,n_clicks_r,n_shows_r
id-566478,22,349,4281,78058
id-563643,7,276,3528,96881
id-559833,7,313,2516,80045
id-566439,1,268,545,57311
id-564418,2,261,1544,96498
id-562374,13,346,2746,79605
id-563846,12,296,3581,96976
id-566825,14,318,4409,79668
id-566573,4,300,2353,76586
id-566689,11,311,3140,81247
id-566726,17,356,2674,61463
id-560805,21,330,3444,76689
id-566431,26,355,5364,77548
id-566587,44,426,7128,89169
id-564371,12,322,2785,77015
id-566602,13,330,2594,83431
id-562265,7,309,1147,66503
id-566631,10,339,1482,67311
id-565822,6,238,3868,88244
id-566838,60,453,3820,55872
id-566541,7,229,932,42035
id-562637,676,30954,1905,87186
