arms,n_clicks_b,n_shows_b,n_clicks_r,n_shows_r
id-566478,50,947,4281,78058
id-563643,13,335,3528,96881
id-559833,22,812,2516,80045
id-566439,3,262,545,57311
id-564418,3,352,1544,96498
id-562374,8,422,2746,79605
id-563846,11,276,3581,96976
id-566825,55,871,4409,79668
id-566573,21,626,2353,76586
id-566689,44,789,3140,81247
id-566726,51,820,2674,61463
id-560805,30,532,3444,76689
id-566431,115,1510,5364,77548
id-566587,197,2090,7128,89169
id-564371,25,517,2785,77015
id-566602,5,406,2594,83431
id-562265,10,428,1147,66503
id-566631,7,540,1482,67311
id-565822,5,167,3868,88244
id-566838,251,1788,3820,55872
id-566541,9,200,932,42035
id-562637,693,31270,1905,87186
