arms,n_clicks_b,n_shows_b,n_clicks_r,n_shows_r
id-566478,107,1554,4281,78058
id-563643,11,225,3528,96881
id-559833,32,697,2516,80045
id-566439,2,283,545,57311
id-564418,1,313,1544,96498
id-562374,36,1013,2746,79605
id-563846,4,308,3581,96976
id-566825,47,1210,4409,79668
id-566573,12,570,2353,76586
id-566689,55,1024,3140,81247
id-566726,24,810,2674,61463
id-560805,63,1231,3444,76689
id-566431,90,1924,5364,77548
id-566587,977,8395,7128,89169
id-564371,12,554,2785,77015
id-566602,23,1089,2594,83431
id-562265,7,286,1147,66503
id-566631,12,564,1482,67311
id-565822,6,185,3868,88244
id-566838,350,3515,3820,55872
id-566541,5,123,932,42035
id-562637,695,31550,1905,87186
